"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-09-25","84.8","-3.5607","5.1686","Max Scherzer",592663,453286,"strikeout","swinging_strike",,,,,"13","J.  T.   Realmuto strikes out swinging.  ","R","R","R","WSH","MIA","S",2,"null",0,2,2018,"-1.3495","-0.0497","-1.6949","1.4428","null","null","null",1,6,"Top","null","null",,,446308,,"180926_004159","7.1399","-123.4755","-2.3450","-15.3410","22.5712","-32.4447","3.4110","1.5650","null","null","null","85.7110","2844","6.6580",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"53.8417","null","null","0.00",1,0,0,"null",45,"3","Changeup",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","83.4","-3.6963","5.1471","Max Scherzer",592663,453286,"null","swinging_strike",,,,,"9","null","R","R","R","WSH","MIA","S","null","null",0,1,2018,"0.4516","-0.1414","0.7070","1.5795","null","null","null",1,6,"Top","null","null",,,446308,,"180926_004139","9.1741","-121.1726","-1.4730","2.6406","23.1394","-33.4983","3.4110","1.5650","null","null","null","82.8240","null","5.9400",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.5592","null","null","null","null","null","null","null",45,"2","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","93.8","-3.6209","5.2757","Max Scherzer",592663,453286,"null","called_strike",,,,,"2","null","R","R","R","WSH","MIA","S","null","null",0,0,2018,"-0.5376","1.1195","0.2735","3.2128","null","null","null",1,6,"Top","null","null",,,446308,,"180926_004117","11.1468","-136.1552","-2.0567","-8.8485","26.8376","-18.1287","3.3908","1.5650","null","null","null","93.4420","2373","5.9870",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.5128","null","null","null","null","null","null","null",45,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","93.0","-3.6416","5.2446","Max Scherzer",500743,453286,"field_out","hit_into_play",,,,,"11","Miguel Rojas pops out to first baseman Ryan Zimmerman in foul territory.  ","R","R","R","WSH","MIA","X",3,"popup",0,0,2018,"-1.0583","1.2449","-0.9833","2.6070","null","null","null",0,6,"Top","148.93","204.03",,,446308,,"180926_004029","9.1034","-135.2000","-3.7104","-14.8561","27.9239","-16.3533","3.3190","1.5130","null","80.0","69.0000","93.0230","2454","6.2380",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.2618","0.000","0.000","0.00",1,0,0,3,44,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"CU","2018-09-25","75.9","-3.3251","5.4414","Max Scherzer",595375,453286,"field_out","hit_into_play",,,,,"5","JT Riddle pops out to shortstop Trea Turner.  ","R","L","R","WSH","MIA","X",6,"popup",0,0,2018,"0.8072","-0.6130","0.0330","2.7849","null","null","542364.00",2,5,"Top","109.91","147.57",,,446308,,"180926_002750","5.5546","-110.2519","2.5689","5.5311","18.9918","-37.7756","3.4110","1.5650","134","74.8","63.8520","75.2900","2477","5.8700",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.6292","0.008","0.006","0.00",1,0,0,3,38,"1","Curveball",3,1,1,3,1,3,1,3,"Standard","Standard"
"CU","2018-09-25","76.1","-3.3278","5.4835","Max Scherzer",542364,453286,"single","hit_into_play_no_out",,,,,"13","Rafael Ortega singles on a line drive to right fielder Adam Eaton.  ","R","L","R","WSH","MIA","X","null","line_drive",2,1,2018,"0.7946","-0.8029","-0.2883","1.2184","null","null","null",2,5,"Top","178.90","113.62",,,446308,,"180926_002654","4.9332","-110.6664","-0.4439","5.4932","20.3990","-38.8085","3.3190","1.5130","186","81.7","13.9920","75.3630","2524","5.8590",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.6403","0.860","0.793","0.90",1,1,0,4,37,"4","Curveball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","93.4","-3.5960","5.1941","Max Scherzer",542364,453286,"null","called_strike",,,,,"11","null","R","L","R","WSH","MIA","S","null","null",2,0,2018,"-1.0256","1.1579","-1.1789","2.7999","null","null","null",2,5,"Top","null","null",,,446308,,"180926_002628","8.3387","-135.7002","-2.8649","-14.2431","29.5128","-17.7610","3.0668","1.5001","null","null","null","92.4360","2447","5.7860",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.7134","null","null","null","null","null","null","null",37,"3","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","94.8","-3.5397","5.1244","Max Scherzer",542364,453286,"null","ball",,,,,"11","null","R","L","R","WSH","MIA","B","null","null",1,0,2018,"-1.2134","1.1321","-1.6500","2.4073","null","null","null",2,5,"Top","null","null",,,446308,,"180926_002610","7.5949","-137.7451","-3.9088","-17.0218","30.6900","-17.2257","3.0452","1.4277","null","null","null","94.4020","2356","6.1460",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3540","null","null","null","null","null","null","null",37,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","92.6","-3.6623","5.1816","Max Scherzer",542364,453286,"null","ball",,,,,"11","null","R","L","R","WSH","MIA","B","null","null",0,0,2018,"-1.0998","1.0265","-2.0378","3.3047","null","null","null",2,5,"Top","null","null",,,446308,,"180926_002554","6.5161","-134.7128","-1.2159","-14.7231","28.9732","-19.6989","3.1029","1.4567","null","null","null","92.4430","2217","6.1870",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3123","null","null","null","null","null","null","null",37,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"CH","2018-09-25","83.0","-3.6001","5.3297","Max Scherzer",642423,453286,"field_out","hit_into_play",,,,,"13","Magneuris Sierra grounds out, shortstop Trea Turner to first baseman Ryan Zimmerman.  ","R","L","R","WSH","MIA","X",6,"ground_ball",1,2,2018,"-1.0602","0.1415","-1.4608","2.0763","null","null","null",1,5,"Top","115.91","149.68",,,446308,,"180926_002451","6.8841","-120.6676","-1.2199","-11.5549","23.7217","-30.8111","3.3190","1.5130","32","82.8","-1.1280","82.3710","1308","5.9420",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.5579","0.200","0.197","0.00",1,0,0,2,36,"5","Changeup",3,1,1,3,1,3,1,3,"Standard","Standard"
