"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-09-28","80.7","-2.1016","5.9753","Mike Foltynewicz",546318,592314,"null","swinging_strike",,,,,"2","null","R","L","R","PHI","ATL","S","null","null",2,1,2018,"0.2226","-0.1243","0.1684","3.4623","null","null","514917.00",1,4,"Bot","null","null",,,452095,,"180929_002502","4.5796","-117.3768","1.2501","1.1857","21.2323","-33.7648","3.5698","1.6239","null","null","null","79.8770","2316","5.6500",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.8532","null","null","null","null","null","null","null",32,"4","Curveball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-28","85.2","-2.1511","5.6929","Mike Foltynewicz",546318,592314,"null","ball",,,,,"11","null","R","L","R","PHI","ATL","B","null","null",1,1,2018,"-1.1730","1.0762","-1.8035","3.6435","null","null","514917.00",1,4,"Bot","null","null",,,452095,,"180929_002437","3.2002","-124.0539","-0.6948","-12.8176","24.6062","-21.0633","3.5698","1.6239","null","null","null","85.6240","1732","6.5140",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.9892","null","null","null","null","null","null","null",32,"3","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-28","85.5","-2.0001","5.8557","Mike Foltynewicz",546318,592314,"null","called_strike",,,,,"1","null","R","L","R","PHI","ATL","S","null","null",1,0,2018,"-1.1078","1.0616","-0.5266","3.5320","null","null","514917.00",1,4,"Bot","null","null",,,452095,,"180929_002417","5.7819","-124.5529","-1.4023","-12.8153","24.1020","-20.8837","3.5698","1.6239","null","null","null","86.3500","1709","6.6930",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.8094","null","null","null","null","null","null","null",32,"2","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-09-28","95.6","-2.5302","5.5187","Mike Foltynewicz",546318,592314,"null","ball",,,,,"11","null","R","L","R","PHI","ATL","B","null","null",0,0,2018,"-1.1249","1.3501","-2.1941","3.2804","null","null","514917.00",1,4,"Bot","null","null",,,452095,,"180929_002355","3.3806","-139.1053","-3.2861","-15.2321","30.7359","-14.2869","3.5698","1.6239","null","null","null","95.3100","2238","6.0940",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.4091","null","null","null","null","null","null","null",32,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FT","2018-09-28","96.1","-2.3331","5.6485","Mike Foltynewicz",571506,592314,"field_out","hit_into_play",,,,,"4","Justin Bour flies out to left fielder Ronald Acuna Jr.  ","R","L","R","PHI","ATL","X",7,"fly_ball",0,2,2018,"-1.2772","1.1173","-0.3756","2.8073","null","null","514917.00",0,4,"Bot","61.50","70.10",,,452095,,"180929_002308","8.0590","-139.6642","-4.4210","-18.5054","32.5573","-16.8249","3.5698","1.6239","339","96.5","34.3400","95.8270","2224","6.2840",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.2184","0.250","0.440","0.00",1,0,0,5,31,"3","2-Seam Fastball",0,4,0,4,4,0,0,4,"Infield shift","Standard"
"FT","2018-09-28","95.7","-2.6043","5.5626","Mike Foltynewicz",571506,592314,"null","foul",,,,,"1","null","R","L","R","PHI","ATL","S","null","null",0,1,2018,"-1.0781","1.1003","-0.7695","3.1315","null","null","514917.00",0,4,"Bot","null","null",,,452095,,"180929_002235","7.2732","-139.2763","-3.2919","-15.6366","30.6343","-17.3364","3.5698","1.6239","166","79.0","17.8179","95.8550","2172","6.3280",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.1746","null","null","null","null","null","null","null",31,"2","2-Seam Fastball",0,4,0,4,4,0,0,4,"Infield shift","Standard"
"FF","2018-09-28","96.2","-2.7311","5.6521","Mike Foltynewicz",571506,592314,"null","foul",,,,,"4","null","R","L","R","PHI","ATL","S","null","null",0,0,2018,"-1.2315","1.5251","-0.5357","2.7515","null","null","514917.00",0,4,"Bot","null","null",,,452095,,"180929_002212","8.5910","-139.7639","-5.5112","-18.0561","32.5145","-11.2313","3.5698","1.6239","null","null","null","95.9040","2371","6.2830",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.2197","null","null","null","null","null","null","null",31,"1","4-Seam Fastball",0,4,0,4,4,0,0,4,"Infield shift","Standard"
"SL","2018-09-28","86.7","-2.6406","5.4254","Mike Foltynewicz",514917,592314,"hit_by_pitch","hit_by_pitch",,,,,"14","Cesar Hernandez hit by pitch.  ","R","L","R","PHI","ATL","B","null","null",1,2,2018,"0.5966","-0.0076","2.0315","0.9890","null","null","null",0,4,"Bot","null","null",,,452095,,"180929_002133","9.8846","-125.9008","-4.3755","4.4296","23.7329","-31.6465","3.5698","1.6239","null","null","null","86.2690","1334","5.9710",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.5313","null","null","0.70",1,0,0,"null",30,"4","Slider",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-28","86.8","-2.4134","5.6285","Mike Foltynewicz",514917,592314,"null","foul",,,,,"5","null","R","L","R","PHI","ATL","S","null","null",1,1,2018,"-1.4062","0.7096","-0.0501","2.2383","null","null","null",0,4,"Bot","null","null",,,452095,,"180929_002112","8.6199","-126.1682","-3.3839","-16.9508","26.1678","-24.0225","3.5698","1.6239","null","null","null","87.2470","1857","6.6800",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.8227","null","null","null","null","null","null","null",30,"3","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-09-28","86.1","-2.3729","5.5325","Mike Foltynewicz",514917,592314,"null","ball",,,,,"14","null","R","L","R","PHI","ATL","B","null","null",0,1,2018,"-1.0640","0.9242","1.1059","1.0953","null","null","null",0,4,"Bot","null","null",,,452095,,"180929_002059","10.6394","-125.0803","-6.3179","-13.5739","24.0266","-21.1092","3.5698","1.6239","null","null","null","87.5150","1917","7.1680",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.3350","null","null","null","null","null","null","null",30,"2","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
