"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-09-29","72.7","0.9199","6.3324","Clayton Kershaw",605244,477132,"null","foul",,,,,"14","null","R","R","L","SF","LAD","S","null","null",1,2,2018,"-0.1538","-1.4283","0.3531","1.1052","null","null","null",1,4,"Bot","null","null",,,518735,,"180929_213215","-0.8704","-105.8206","-0.6659","-0.9823","18.5420","-42.8411","3.4670","1.5890","4","63.0","-19.8195","72.1250","2594","5.8910",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.6065","null","null","null","null","null","null","null",37,"4","Curveball",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","88.5","1.2833","6.2552","Clayton Kershaw",605244,477132,"null","foul",,,,,"13","null","R","R","L","SF","LAD","S","null","null",1,1,2018,"-0.4022","1.0061","-0.5761","1.3412","null","null","null",1,4,"Bot","null","null",,,518735,,"180929_213144","-3.6969","-128.6271","-7.9898","-3.6773","27.1538","-19.5544","3.4670","1.5890","null","null","null","88.4300","2618","6.3500",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.1476","null","null","null","null","null","null","null",37,"3","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","87.6","1.2933","6.2694","Clayton Kershaw",605244,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,1,2018,"-0.2535","1.0354","-0.2594","0.9171","null","null","null",1,4,"Bot","null","null",,,518735,,"180929_213127","-3.2167","-127.2327","-8.8634","-2.0858","25.8428","-19.4090","3.4223","1.6012","null","null","null","87.3030","2597","6.1810",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.3168","null","null","null","null","null","null","null",37,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2018-09-29","89.8","1.3188","6.1860","Clayton Kershaw",605244,477132,"null","called_strike",,,,,"5","null","R","R","L","SF","LAD","S","null","null",0,0,2018,"0.1135","1.8172","0.2077","2.7825","null","null","null",1,4,"Bot","null","null",,,518735,,"180929_213111","-3.0031","-130.7207","-6.3129","1.9586","28.5526","-10.1501","3.4670","1.5890","null","null","null","90.0010","2416","6.4720",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.0251","null","null","null","null","null","null","null",37,"1","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","87.0","1.4208","6.2268","Clayton Kershaw",543063,477132,"field_out","hit_into_play",,,,,"8","Brandon Crawford grounds out, second baseman Enrique Hernandez to first baseman Max Muncy.  ","R","L","L","SF","LAD","X",4,"ground_ball",0,0,2018,"-0.1003","1.1095","0.2620","1.8254","null","null","null",0,4,"Bot","138.12","151.62",,,518735,,"180929_213034","-2.5671","-126.6935","-6.6861","-0.6181","22.7360","-19.2396","3.4670","1.5890","3","66.5","-35.4190","87.1460","2526","6.0670",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.4303","0.071","0.070","0.00",1,0,0,2,36,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2018-09-29","90.9","1.1609","6.1799","Clayton Kershaw",460026,477132,"field_out","hit_into_play",,,,,"1","Nick Hundley flies out to left fielder Joc Pederson.  ","R","R","L","SF","LAD","X",7,"fly_ball",1,0,2018,"0.0635","1.6941","-0.7779","2.8715","null","null","605412.00",2,3,"Bot","90.89","85.54",,,518735,,"180929_210802","-5.0028","-132.1962","-5.9733","1.8990","30.6072","-11.2494","3.3710","1.5350","282","81.9","37.4170","90.7260","2455","6.4100",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.0878","0.016","0.022","0.00",1,0,0,3,28,"2","4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard"
"FF","2018-09-29","90.6","1.0573","6.2512","Clayton Kershaw",460026,477132,"null","ball",,,,,"11","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"0.0576","1.7072","-1.4982","2.9629","null","null","605412.00",2,3,"Bot","null","null",,,518735,,"180929_210730","-6.5115","-131.6473","-5.9119","2.0836","28.5751","-11.2468","3.3198","1.4971","null","null","null","90.5990","2487","6.4170",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.0804","null","null","null","null","null","null","null",28,"1","4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard"
"FF","2018-09-29","90.1","1.1414","6.1420","Clayton Kershaw",446334,477132,"field_out","hit_into_play",,,,,"14","Evan Longoria pops out to second baseman Enrique Hernandez in foul territory.  ","R","R","L","SF","LAD","X",4,"popup",2,1,2018,"0.0692","1.7250","0.8547","2.4815","null","null","605412.00",1,3,"Bot","181.17","157.04",,,518735,,"180929_210647","-0.8644","-131.1170","-6.8158","0.9935","29.3501","-10.9343","3.4110","1.5650","197","85.0","60.3790","90.2910","2386","6.5340",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.9636","0.010","0.014","0.00",1,0,0,3,27,"4","4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard"
"SL","2018-09-29","88.9","1.2572","6.2116","Clayton Kershaw",446334,477132,"null","foul",,,,,"5","null","R","R","L","SF","LAD","S","null","null",2,0,2018,"-0.3699","1.3389","-0.0914","2.4424","null","null","605412.00",1,3,"Bot","null","null",,,518735,,"180929_210611","-2.5362","-129.4285","-6.0758","-3.7122","24.6423","-16.0271","3.4110","1.5650","6","65.5","-22.8401","89.4830","2399","6.4230",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.0744","null","null","null","null","null","null","null",27,"3","Slider",3,2,3,2,2,3,3,2,"Standard","Standard"
"FF","2018-09-29","91.0","1.1677","6.2098","Clayton Kershaw",446334,477132,"null","ball",,,,,"11","null","R","R","L","SF","LAD","B","null","null",1,0,2018,"0.1627","1.7122","-0.9728","3.6157","null","null","605412.00",1,3,"Bot","null","null",,,518735,,"180929_210548","-5.7205","-132.4763","-4.2863","3.1102","27.6877","-11.3374","3.6014","1.6273","null","null","null","91.1380","2420","6.2980",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.1991","null","null","null","null","null","null","null",27,"2","4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard"
"SL","2018-09-29","89.6","1.1155","6.2212","Clayton Kershaw",446334,477132,"null","blocked_ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"-0.6071","1.2399","-1.5247","0.1799","null","null","605412.00",1,3,"Bot","null","null",,,518735,,"180929_210520","-5.2232","-130.0224","-11.4573","-5.7987","26.4651","-16.0443","3.5503","1.6273","null","null","null","89.3030","2623","6.1910",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.3067","null","null","null","null","null","null","null",27,"1","Slider",3,2,3,2,2,3,3,2,"Standard","Standard"
"FF","2018-09-29","91.2","1.1890","6.1348","Clayton Kershaw",605412,477132,"single","hit_into_play_score",,,,,"4","Joe Panik singles on a line drive to left fielder Joc Pederson.   Gregor Blanco scores.    Hunter Pence scores.  ","R","L","L","SF","LAD","X","null","line_drive",0,0,2018,"0.0910","1.6157","-0.7252","2.3097","453923.00","452254.00","null",1,3,"Bot","73.36","109.44",,,518735,,"180929_210432","-5.0448","-132.6877","-7.2749","2.1817","28.8555","-11.5279","3.4110","1.5650","248","96.8","12.6670","91.7480","2536","6.6630",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.8343","0.890","0.852","0.90",1,1,0,4,26,"1","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
"SL","2018-09-29","89.0","1.2051","6.2205","Clayton Kershaw",452254,477132,"double","hit_into_play_no_out",,,,,"8","Hunter Pence doubles (10) on a sharp line drive to right fielder Yasiel Puig.   Gregor Blanco to 3rd.  ","R","R","L","SF","LAD","X","null","line_drive",0,1,2018,"-0.1048","1.4133","0.2363","1.8386","null","null","453923.00",1,3,"Bot","205.39","101.92",,,518735,,"180929_210331","-2.1669","-129.4763","-7.7419","-0.7364","26.9850","-14.7335","3.5490","1.6270","266","103.2","12.0390","89.4770","2518","6.5910",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.9063","0.884","0.909","1.25",1,1,1,4,25,"2","Slider",1,2,1,2,2,1,1,2,"Standard","Standard"
"FF","2018-09-29","90.1","1.0867","6.2286","Clayton Kershaw",452254,477132,"null","foul",,,,,"2","null","R","R","L","SF","LAD","S","null","null",0,0,2018,"0.0744","1.9930","0.0954","3.1891","null","null","453923.00",1,3,"Bot","null","null",,,518735,,"180929_210235","-2.6242","-131.0851","-5.8107","1.4306","28.7062","-8.1843","3.5490","1.6270","43","44.2","8.2514","90.1100","2483","6.3850",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.1126","null","null","null","null","null","null","null",25,"1","4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard"
